74.138.244.12 syn-074-138-244-012.res.spectrum.com
74.136.3.62 syn-074-136-003-062.res.spectrum.com
162.234.192.206 162-234-192-206.lightspeed.lsvlky.sbcglobal.net
74.175.224.235 74.175.224.235
12.207.142.86 12.207.142.86
108.227.156.248 108-227-156-248.lightspeed.lsvlky.sbcglobal.net
47.231.84.254 syn-047-231-084-254.res.spectrum.com
184.54.196.6 syn-184-054-196-006.res.spectrum.com
184.54.212.109 syn-184-054-212-109.res.spectrum.com
70.228.93.205 70-228-93-205.lightspeed.lsvlky.sbcglobal.net
108.239.45.214 108-239-45-214.lightspeed.lsvlky.sbcglobal.net
108.255.21.149 108-255-21-149.lightspeed.lsvlky.sbcglobal.net
162.234.192.80 162-234-192-80.lightspeed.lsvlky.sbcglobal.net
174.101.208.150 syn-174-101-208-150.res.spectrum.com
74.138.248.73 syn-074-138-248-073.res.spectrum.com
172.3.207.93 172-3-207-93.lightspeed.lsvlky.sbcglobal.net
74.136.8.65 syn-074-136-008-065.res.spectrum.com
98.72.3.174 adsl-098-072-003-174.sip.mia.bellsouth.net
74.138.251.125 syn-074-138-251-125.res.spectrum.com
96.28.37.134 syn-096-028-037-134.res.spectrum.com
172.3.207.176 172-3-207-176.lightspeed.lsvlky.sbcglobal.net
184.54.200.240 syn-184-054-200-240.res.spectrum.com
74.142.95.201 syn-074-142-095-201.biz.spectrum.com
74.138.252.218 syn-074-138-252-218.res.spectrum.com
107.138.163.31 107-138-163-31.lightspeed.lsvlky.sbcglobal.net
98.72.1.162 adsl-098-072-001-162.sip.mia.bellsouth.net
74.129.241.244 syn-074-129-241-244.res.spectrum.com
74.129.255.136 syn-074-129-255-136.res.spectrum.com
74.129.244.244 syn-074-129-244-244.res.spectrum.com
184.54.195.133 syn-184-054-195-133.res.spectrum.com
107.128.147.37 107-128-147-37.lightspeed.lsvlky.sbcglobal.net
172.3.207.202 172-3-207-202.lightspeed.lsvlky.sbcglobal.net
108.239.45.210 108-239-45-210.lightspeed.lsvlky.sbcglobal.net
70.228.92.254 70-228-92-254.lightspeed.lsvlky.sbcglobal.net
98.27.232.98 syn-098-027-232-098.res.spectrum.com
107.128.147.222 107-128-147-222.lightspeed.lsvlky.sbcglobal.net
74.136.10.13 syn-074-136-010-013.res.spectrum.com
76.177.167.157 syn-076-177-167-157.res.spectrum.com
162.155.180.130 syn-162-155-180-130.biz.spectrum.com
98.27.235.26 syn-098-027-235-026.res.spectrum.com
74.138.237.3 syn-074-138-237-003.res.spectrum.com
172.3.207.91 172-3-207-91.lightspeed.lsvlky.sbcglobal.net
74.136.10.69 syn-074-136-010-069.res.spectrum.com
172.3.205.40 172-3-205-40.lightspeed.lsvlky.sbcglobal.net
74.138.232.231 syn-074-138-232-231.res.spectrum.com
74.138.235.24 syn-074-138-235-024.res.spectrum.com
172.3.207.186 172-3-207-186.lightspeed.lsvlky.sbcglobal.net
107.138.162.85 107-138-162-85.lightspeed.lsvlky.sbcglobal.net
98.30.193.159 syn-098-030-193-159.res.spectrum.com
74.138.248.223 syn-074-138-248-223.res.spectrum.com
184.54.202.167 syn-184-054-202-167.res.spectrum.com
74.138.254.253 syn-074-138-254-253.res.spectrum.com
12.207.141.162 12.207.141.162
76.182.151.177 syn-076-182-151-177.res.spectrum.com
12.207.141.109 12.207.141.109
74.136.11.9 syn-074-136-011-009.res.spectrum.com
192.60.117.51 syn-192-060-117-051.res.spectrum.com
96.28.32.31 syn-096-028-032-031.res.spectrum.com
98.72.3.238 adsl-098-072-003-238.sip.mia.bellsouth.net
76.35.169.141 syn-076-035-169-141.res.spectrum.com
74.129.244.209 syn-074-129-244-209.res.spectrum.com
96.28.39.56 syn-096-028-039-056.res.spectrum.com
24.106.64.177 syn-024-106-064-177.biz.spectrum.com
74.143.170.217 syn-074-143-170-217.biz.spectrum.com
76.35.184.70 syn-076-035-184-070.res.spectrum.com
98.27.235.91 syn-098-027-235-091.res.spectrum.com
65.189.180.13 lag-15.bdfrkyap01h.netops.charter.com
96.28.38.241 syn-096-028-038-241.res.spectrum.com
74.136.10.177 syn-074-136-010-177.res.spectrum.com
70.228.93.213 70-228-93-213.lightspeed.lsvlky.sbcglobal.net
76.177.161.221 syn-076-177-161-221.res.spectrum.com
104.52.14.38 104-52-14-38.lightspeed.lsvlky.sbcglobal.net
107.133.216.236 107-133-216-236.lightspeed.rcsntx.sbcglobal.net
74.138.247.3 syn-074-138-247-003.res.spectrum.com
184.54.198.96 syn-184-054-198-096.res.spectrum.com
12.207.135.78 12.207.135.78
74.129.249.82 syn-074-129-249-082.res.spectrum.com
74.136.7.248 syn-074-136-007-248.res.spectrum.com
74.136.9.53 syn-074-136-009-053.res.spectrum.com
74.129.241.216 syn-074-129-241-216.res.spectrum.com
74.136.4.176 syn-074-136-004-176.res.spectrum.com
74.138.233.217 syn-074-138-233-217.res.spectrum.com
70.228.91.164 adsl-70-228-91-164.dsl.akrnoh.ameritech.net
108.255.17.23 108.255.17.23
74.136.1.143 syn-074-136-001-143.res.spectrum.com
172.3.201.16 172-3-201-16.lightspeed.lsvlky.sbcglobal.net
174.101.215.102 syn-174-101-215-102.res.spectrum.com
74.136.2.215 syn-074-136-002-215.res.spectrum.com
12.207.142.207 12.207.142.207
74.129.244.155 syn-074-129-244-155.res.spectrum.com
104.52.13.8 104-52-13-8.lightspeed.lsvlky.sbcglobal.net
12.207.141.83 12.207.141.83
65.25.128.105 ana01mdsnin21.netops.charter.com
74.136.12.155 syn-074-136-012-155.res.spectrum.com
96.28.32.206 syn-096-028-032-206.res.spectrum.com
12.207.142.199 12.207.142.199
174.101.209.155 syn-174-101-209-155.res.spectrum.com
76.182.151.162 syn-076-182-151-162.res.spectrum.com
74.138.230.250 syn-074-138-230-250.res.spectrum.com
12.207.132.88 12.207.132.88
172.3.203.36 172-3-203-36.lightspeed.lsvlky.sbcglobal.net
74.136.5.148 syn-074-136-005-148.res.spectrum.com
76.177.161.81 syn-076-177-161-081.res.spectrum.com
184.54.210.44 syn-184-054-210-044.res.spectrum.com
74.129.240.19 syn-074-129-240-019.res.spectrum.com
104.230.42.14 syn-104-230-042-014.res.spectrum.com
108.227.156.181 108-227-156-181.lightspeed.lsvlky.sbcglobal.net
74.129.255.209 syn-074-129-255-209.res.spectrum.com
172.3.203.135 172-3-203-135.lightspeed.lsvlky.sbcglobal.net
107.128.146.11 107-128-146-11.lightspeed.lsvlky.sbcglobal.net
74.136.0.244 syn-074-136-000-244.res.spectrum.com
74.136.14.177 syn-074-136-014-177.res.spectrum.com
74.129.250.94 syn-074-129-250-094.res.spectrum.com
174.101.210.177 syn-174-101-210-177.res.spectrum.com
108.239.45.189 108-239-45-189.lightspeed.lsvlky.sbcglobal.net
74.138.252.126 syn-074-138-252-126.res.spectrum.com
184.54.194.60 syn-184-054-194-060.res.spectrum.com
74.138.238.130 syn-074-138-238-130.res.spectrum.com
76.35.184.208 syn-076-035-184-208.res.spectrum.com
70.228.92.66 70-228-92-66.lightspeed.lsvlky.sbcglobal.net
184.54.211.65 syn-184-054-211-065.res.spectrum.com
172.3.200.245 172-3-200-245.lightspeed.lsvlky.sbcglobal.net
65.29.31.86 mdsnin2101h.netops.charter.com
74.138.229.67 syn-074-138-229-067.res.spectrum.com
74.138.234.243 syn-074-138-234-243.res.spectrum.com
108.227.156.218 108-227-156-218.lightspeed.lsvlky.sbcglobal.net
74.129.254.48 syn-074-129-254-048.res.spectrum.com
107.133.217.201 107-133-217-201.lightspeed.rcsntx.sbcglobal.net
74.129.255.114 syn-074-129-255-114.res.spectrum.com
74.138.241.51 syn-074-138-241-051.res.spectrum.com
108.227.156.236 108-227-156-236.lightspeed.lsvlky.sbcglobal.net
98.72.5.107 adsl-098-072-005-107.sip.mia.bellsouth.net
76.182.150.175 syn-076-182-150-175.res.spectrum.com
74.129.244.201 syn-074-129-244-201.res.spectrum.com
74.129.254.84 syn-074-129-254-084.res.spectrum.com
74.136.0.179 syn-074-136-000-179.res.spectrum.com
104.3.8.56 104-3-8-56.lightspeed.lsvlky.sbcglobal.net
107.133.217.245 107-133-217-245.lightspeed.rcsntx.sbcglobal.net
76.177.167.48 syn-076-177-167-048.res.spectrum.com
98.72.5.87 adsl-098-072-005-087.sip.mia.bellsouth.net
107.133.218.77 107-133-218-77.lightspeed.rcsntx.sbcglobal.net
107.133.219.204 107-133-219-204.lightspeed.rcsntx.sbcglobal.net
74.143.92.49 syn-074-143-092-049.biz.spectrum.com
107.138.161.66 107-138-161-66.lightspeed.lsvlky.sbcglobal.net
76.41.229.171 syn-076-041-229-171.res.spectrum.com
74.175.224.139 74.175.224.139
104.52.14.91 104-52-14-91.lightspeed.lsvlky.sbcglobal.net
174.101.209.217 syn-174-101-209-217.res.spectrum.com
98.27.235.97 syn-098-027-235-097.res.spectrum.com
71.67.234.89 syn-071-067-234-089.biz.spectrum.com
74.142.98.121 syn-074-142-098-121.biz.spectrum.com
107.128.147.231 107-128-147-231.lightspeed.lsvlky.sbcglobal.net
74.138.239.196 syn-074-138-239-196.res.spectrum.com
96.28.35.108 syn-096-028-035-108.res.spectrum.com
98.72.7.142 adsl-098-072-007-142.sip.mia.bellsouth.net
